year,team_abbreviation,first_name,last_name,role,is_active,start_date,end_date,source
2022,GB,Rich,Bisaccia,Special Teams Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,HOU,Lovie,Smith,Head Coach,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,HOU,Pep,Hamilton,Offensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,HOU,Lovie,Smith,Defensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,HOU,Frank,Ross,Special Teams Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,IND,Frank,Reich,Head Coach,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,IND,Marcus,Brady,Offensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,IND,Gus,Bradley,Defensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,IND,Bubba,Ventrone,Special Teams Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,JAX,Doug,Pederson,Head Coach,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,JAX,Press,Taylor,Offensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,JAX,Mike,Caldwell,Defensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,JAX,Heath,Farwell,Special Teams Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,KC,Andy,Reid,Head Coach,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,KC,Eric,Bieniemy,Offensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,KC,Steve,Spagnuolo,Defensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,KC,Dave,Toub,Special Teams Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,LAC,Brandon,Staley,Head Coach,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,LAC,Joe,Lombardi,Offensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,LAC,Renaldo,Hill,Defensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,LAC,Ryan,Ficken,Special Teams Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,LAR,Sean,McVay,Head Coach,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,LAR,Liam,Coen,Offensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,LAR,Raheem,Morris,Defensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,LAR,Joe,DeCamillis,Special Teams Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,LV,Josh,McDaniels,Head Coach,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,LV,Mick,Lombardi,Offensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,LV,Patrick,Graham,Defensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,LV,Tom,McMahon,Special Teams Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,MIA,Mike,McDaniel,Head Coach,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,MIA,Frank,Smith,Offensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,MIA,Josh,Boyer,Defensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,MIA,Danny,Crossman,Special Teams Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,MIN,Kevin,O'Connell,Head Coach,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,MIN,Wes,Phillips,Offensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,MIN,Ed,Donatell,Defensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,MIN,Matt,Daniels,Special Teams Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,NE,Bill,Belichick,Head Coach,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,NE,Matt,Patricia,Offensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,NE,Steve,Belichick,Defensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,NE,Cameron,Achord,Special Teams Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,NO,Dennis,Allen,Head Coach,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,NO,Pete,Carmichael,Offensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,NO,Ryan,Nielsen,Defensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,NO,Darren,Rizzi,Special Teams Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,NYG,Brian,Daboll,Head Coach,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,NYG,Mike,Kafka,Offensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,NYG,Wink,Martindale,Defensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,NYG,Thomas,McGaughey,Special Teams Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,NYJ,Robert,Saleh,Head Coach,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,NYJ,Mike,LaFleur,Offensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,NYJ,Jeff,Ulbrich,Defensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,NYJ,Brant,Boyer,Special Teams Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,PHI,Nick,Sirianni,Head Coach,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,PHI,Shane,Steichen,Offensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,PHI,Jonathan,Gannon,Defensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,PHI,Michael,Clay,Special Teams Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,PIT,Mike,Tomlin,Head Coach,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,PIT,Matt,Canada,Offensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,PIT,Teryl,Austin,Defensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,PIT,Danny,Smith,Special Teams Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,SEA,Pete,Carroll,Head Coach,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,SEA,Shane,Waldron,Offensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,SEA,Clint,Hurtt,Defensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,SEA,Larry,Izzo,Special Teams Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,SF,Kyle,Shanahan,Head Coach,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,SF,Chris,Foerster,Offensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,SF,DeMeco,Ryans,Defensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,SF,Brian,Schneider,Special Teams Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,TB,Todd,Bowles,Head Coach,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,TB,Byron,Leftwich,Offensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,TB,Kacy,Rodgers,Defensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,TB,Keith,Armstrong,Special Teams Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,TEN,Mike,Vrabel,Head Coach,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,TEN,Todd,Downing,Offensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,TEN,Shane,Bowen,Defensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,TEN,Craig,Aukerman,Special Teams Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,WAS,Ron,Rivera,Head Coach,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,WAS,Scott,Turner,Offensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,WAS,Jack Del,Rio,Defensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2022,WAS,Nate,Kaczor,Special Teams Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2022_NFL_Coaching_Staffs
2023,ARI,Jonathan,Gannon,Head Coach,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,ARI,Drew,Petzing,Offensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,ARI,Nick,Rallis,Defensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,ARI,Jeff,Rodgers,Special Teams Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,ATL,Arthur,Smith,Head Coach,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,ATL,Dave,Ragone,Offensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,ATL,Ryan,Nielsen,Defensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,ATL,Marquice,Williams,Special Teams Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,BAL,John,Harbaugh,Head Coach,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,BAL,Todd,Monken,Offensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,BAL,Mike,Macdonald,Defensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,BAL,Chris,Horton,Special Teams Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,BUF,Sean,McDermott,Head Coach,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,BUF,Ken,Dorsey,Offensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,BUF,Sean,McDermott,Defensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,BUF,Matthew,Smiley,Special Teams Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,CAR,Frank,Reich,Head Coach,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,CAR,Thomas,Brown,Offensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,CAR,Ejiro,Evero,Defensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,CAR,Chris,Tabor,Special Teams Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,CHI,Matt,Eberflus,Head Coach,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,CHI,Luke,Getsy,Offensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,CHI,Alan,Williams,Defensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,CHI,Richard,Hightower,Special Teams Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,CIN,Zac,Taylor,Head Coach,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,CIN,Brian,Callahan,Offensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,CIN,Lou,Anarumo,Defensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,CIN,Darrin,Simmons,Special Teams Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,CLE,Kevin,Stefanski,Head Coach,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,CLE,Alex Van,Pelt,Offensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,CLE,Jim,Schwartz,Defensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,CLE,Bubba,Ventrone,Special Teams Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,DAL,Mike,McCarthy,Head Coach,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,DAL,Brian,Schottenheimer,Offensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,DAL,Dan,Quinn,Defensive Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,DAL,John,Fassel,Special Teams Coordinator,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
2023,DEN,Sean,Payton,Head Coach,true,,,https://tags-sport-world.fandom.com/wiki/2023_NFL_Coaching_Staffs
